path,label
"landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,up,up,FALSE;landed,up,up,FALSE",1
"landed,down,down,TRUE;landed,down,down,TRUE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,moving,FALSE",1
"cruise,up,up,FALSE;cruise,up,up,FALSE;landed,down,down,TRUE;landed,up,up,FALSE;landed,up,up,FALSE",1
"landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,up,up,FALSE;landed,down,down,TRUE",1
"landed,down,moving,FALSE;landed,up,up,FALSE;landed,up,up,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"cruise,up,up,FALSE;descent,down,moving,FALSE;descent,down,down,TRUE;landed,up,up,FALSE;landed,down,down,TRUE",1
"landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"landed,up,up,FALSE;landed,down,moving,FALSE;landed,up,up,FALSE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"landed,up,up,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"cruise,down,moving,FALSE;cruise,down,moving,FALSE;descent,up,up,FALSE;descent,down,down,TRUE;landed,down,moving,FALSE",1
"landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,down,TRUE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"landed,up,up,FALSE;landed,up,up,FALSE;landed,down,moving,FALSE;landed,down,moving,FALSE;landed,up,up,FALSE",1
"landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,down,TRUE",1
"descent,down,moving,FALSE;descent,down,moving,FALSE;descent,down,moving,FALSE;cruise,up,up,FALSE;descent,down,moving,FALSE",1
"descent,down,down,TRUE;descent,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"descent,down,down,TRUE;descent,down,down,TRUE;descent,down,moving,FALSE;descent,down,down,TRUE;descent,down,moving,FALSE",1
"cruise,up,up,FALSE;cruise,up,up,FALSE;cruise,up,up,FALSE;cruise,up,up,FALSE;descent,down,down,TRUE",1
"landed,down,moving,FALSE;landed,down,moving,FALSE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"cruise,up,up,FALSE;cruise,up,up,FALSE;descent,down,moving,FALSE;descent,down,moving,FALSE;landed,down,moving,FALSE",1
"descent,down,down,TRUE;descent,down,down,TRUE;descent,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,up,up,FALSE",1
"descent,down,down,TRUE;cruise,up,up,FALSE;descent,down,moving,FALSE;descent,down,down,TRUE;cruise,up,up,FALSE",1
"landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,moving,FALSE;landed,down,moving,FALSE",1
"descent,down,moving,FALSE;descent,down,moving,FALSE;descent,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"cruise,up,up,FALSE;landed,down,moving,FALSE;landed,up,up,FALSE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"cruise,down,moving,FALSE;cruise,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"landed,down,moving,FALSE;landed,down,down,TRUE;landed,up,up,FALSE;landed,down,down,TRUE;landed,down,down,TRUE",1
"cruise,up,up,FALSE;cruise,up,up,FALSE;landed,up,up,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"descent,down,down,TRUE;landed,up,up,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"descent,down,moving,FALSE;descent,down,down,TRUE;landed,down,moving,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE",1
"cruise,down,moving,FALSE;descent,down,moving,FALSE;descent,down,moving,FALSE;landed,down,moving,FALSE;landed,down,down,TRUE",1
"cruise,up,up,FALSE;cruise,up,up,FALSE;landed,down,moving,FALSE;landed,down,moving,FALSE;landed,down,moving,FALSE",1
"cruise,up,up,FALSE;cruise,up,up,FALSE;descent,up,up,FALSE;descent,down,down,TRUE;landed,down,moving,FALSE",1
"landed,down,moving,FALSE;landed,down,moving,FALSE;landed,down,moving,FALSE;landed,up,up,FALSE;landed,up,up,FALSE",1
"landed,up,up,FALSE;landed,down,down,TRUE;landed,down,moving,FALSE;landed,up,up,FALSE;landed,down,moving,FALSE",1
